Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
Oxytocics,24,720,871482.64,870342.64,1140.0,2022,Brand,36311.776666666665,1210.3925555555556,47.5,36264.276666666665,1.5833333333333333,1208.8092222222222
Pharmaceutical Aids/Adjuvants,4652,79311,2358101.78,2216721.81,141379.97,2022,Brand,506.9006405846947,29.732342045870052,30.39122312983663,476.5094174548581,1.782602287198497,27.94973975867156
Respiratory Tract Agents,6351,180342,48607713.57,47770514.870000005,837198.7,2022,Brand,7653.55275862069,269.53074475163857,131.8215556605259,7521.731202960164,4.642283550143616,264.888461201495
"Serums, Toxoids, Vaccines",832509,1447075,45146022.32,44570286.910000004,575735.41,2022,Brand,54.22886998218638,31.198121949449753,0.6915665896705021,53.53730339251588,0.39786148610127325,30.800260463348483
Skin & Mucous Membrane,13805,556860,5152359.75,4056116.8899999997,1096242.86,2022,Brand,373.22417602318,9.252522626872103,79.40911698659906,293.8150590365809,1.968614840354847,7.283907786517257
Smooth Muscle Relaxants,4226,184906,1828869.07,1515167.57,313701.5,2022,Brand,432.76598911500236,9.890804354645063,74.23130619971604,358.53468291528634,1.696545812466875,8.194258542178188
UNKNOWN,84,4587,52514.34,49288.86,3225.48,2022,Brand,625.1707142857142,11.448515369522562,38.39857142857143,586.7721428571429,0.7031785480706344,10.745336821451929
Unknown,192158,3860243,15814760.68,15698108.669999998,116652.01,2022,Brand,82.30081849311505,4.096830349799222,0.6070629898312846,81.69375550328374,0.03021882560242969,4.066611524196793
Vitamins & Comb,7144,416543,346993.69,305239.72,41753.97,2022,Brand,48.571345184770436,0.8330320999272585,5.844620660694289,42.72672452407615,0.10023927901801255,0.7327928209092458
~Missing,41618,335948,1253539.8499999999,1191991.92,61547.92999999999,2022,Brand,30.120136719688592,3.7313508340576513,1.4788776490941418,28.64125907059445,0.1832067165156512,3.5481441175420003
