Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
2022,EFFER-K,Brand,"Electrolytic, Caloric, Water","Repl Preps, Potassium Supp",26,1020,989.78,95.44,894.3399999999999,38.068461538461534,0.9703725490196078,34.3976923076923,3.670769230769231,0.8768039215686274,0.0935686274509804
2022,EFFEXOR XR,Brand,Central Nervous System,"Psychother, Antidepressants",276,14522,196875.79,154057.86,42817.92999999999,713.318079710145,13.557071340035808,155.13742753623185,558.180652173913,2.948487122985814,10.608584217049993
2022,EGRIFTA SV,Brand,Hormones & Synthetic Subst,Growth Hormone Rel Horm Analog,47,1410,310512.62,304612.62,5900.0,6606.651489361702,220.22171631205674,125.53191489361703,6481.119574468085,4.184397163120567,216.03731914893618
2022,ELECARE,Brand,"Electrolytic, Caloric, Water","Caloric Agent, Amino Acid Prep",53,1567,10286.300000000001,9026.98,1259.32,194.08113207547171,6.564326738991705,23.760754716981133,170.32037735849056,0.8036502871729418,5.760676451818762
2022,ELETRIPTAN HBR,Generic,Autonomic Drugs,"Vascular 5HT1 Agonist, NEC",3444,83780,332258.24999999994,214842.53999999998,117415.70999999999,96.47452090592333,3.965842086416805,34.09283101045296,62.38168989547038,1.4014766053950822,2.5643654810217233
2022,ELIDEL,Brand,Skin & Mucous Membrane,"S/MM Miscellaneous, NEC",29,790,5073.42,2095.7,2977.7200000000003,174.94551724137932,6.422050632911392,102.68,72.2655172413793,3.7692658227848104,2.652784810126582
2022,ELINEST,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",379,24168,15274.640000000001,15274.640000000001,0.0,40.3024802110818,0.6320191989407481,0.0,40.3024802110818,0.0,0.6320191989407481
2022,ELIQUIS,Brand,Blood Form/Coagul Agents,"Coag/Anticoag, Anticoagulants",38683,1804872,22922490.119999997,19425035.35,3497454.7699999996,592.5727094589354,12.700341143305451,90.41322467233667,502.1594847865988,1.937785488389204,10.76255565491625
2022,ELIQUIS 30 DAY DVT/PE STARTER PACK,Brand,Blood Form/Coagul Agents,"Coag/Anticoag, Anticoagulants",370,11294,178560.22,152961.45,25598.769999999997,482.59518918918917,15.81018416858509,69.18586486486485,413.40932432432436,2.266581370639277,13.543602797945812
2022,ELLA,Brand,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",1699,20025,68847.81999999999,68808.52,39.3,40.52255444379046,3.438093383270911,0.02313125367863449,40.499423190111834,0.0019625468164794005,3.4361308364544323
2022,ELMIRON,Brand,Misc Therapeutic Agents,"Misc Therapeutic Agents, NEC",387,16689,351963.17999999993,316784.47,35178.71000000001,909.4655813953486,21.08953082868955,90.90105943152456,818.5645219638242,2.1078980166576793,18.981632812031876
2022,ELURYNG,Generic,Hormones & Synthetic Subst,"Estrogens & Comb, NEC",1852,113454,434484.52999999997,433945.8900000001,538.64,234.6028779697624,3.829609621520616,0.29084233261339093,234.31203563714908,0.004747651030373543,3.8248619704902436
2022,EMFLAZA,Brand,Hormones & Synthetic Subst,"Adrenals & Comb, NEC",147,4400,1203651.93,1176780.1099999999,26871.82,8188.108367346938,273.5572568181818,182.80149659863946,8005.306870748298,6.107231818181818,267.450025
2022,EMGALITY,Brand,Central Nervous System,"CNS Agents, Misc.",5420,169068,2870311.27,2448967.1900000004,421344.07999999996,529.577725092251,16.977259268460028,77.73876014760147,451.83896494464955,2.4921574750987765,14.485101793361254
2022,EMOLLIENT CREAM,Brand,Pharmaceutical Aids/Adjuvants,"Pharmaceutical Aids/Adjuv, NEC",12,180,1667.88,1007.88,660.0,138.99,9.266,55.0,83.99,3.6666666666666665,5.599333333333333
2022,EMSAM,Brand,Central Nervous System,"Psychother, Antidepressants",261,9398,443447.93,402069.15,41378.78,1699.034214559387,47.18535113854011,158.5393869731801,1540.494827586207,4.402934666950415,42.782416471589706
2022,EMTRICITABINE,Generic,Anti-Infective Agents,"Antivirals, NEC",46,1918,26301.260000000002,24951.260000000002,1350.0,571.7665217391304,13.712857142857144,29.347826086956523,542.4186956521739,0.7038581856100105,13.008998957247133
2022,EMTRICITABINE-TENOFOVIR DISOPROXIL FUMARATE,Generic,Anti-Infective Agents,"Antivirals, NEC",11183,646383,12324280.74,12276111.42,48169.32,1102.054970938031,19.066529812819955,4.307370115353661,1097.7476008226772,0.07452132868593388,18.99200848413402
2022,EMTRIVA,Brand,Anti-Infective Agents,"Antivirals, NEC",13,390,2905.3199999999997,1260.7199999999998,1644.6,223.48615384615383,7.449538461538461,126.5076923076923,96.97846153846152,4.216923076923076,3.232615384615384
2022,EMVERM,Brand,Anti-Infective Agents,"Anthelmintics, NEC",74,723,95719.32,89681.38,6037.94,1293.5043243243244,132.39186721991703,81.59378378378378,1211.9105405405405,8.351230982019363,124.04063623789766
