Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,average_cost_per_day_total,average_cost_per_day_payer,average_cost_per_day_oop
2018.0,AMLODIPINE BESYLATE,Brand,Pharmaceutical Aids/Adjuvants,"Pharmaceutical Aids/Adjuv, NEC",20.0,600.0,707.73,458.77,248.96,1.17955,0.7646166666666666,0.4149333333333333
2018.0,AMLODIPINE BESYLATE,Generic,Cardiovascular Agents,"Cardiac, Calcium Channel",250417.0,11916532.0,1011625.83,175898.9,835726.93,0.08489263738812601,0.014760913661793548,0.07013172372633246
2018.0,AMLODIPINE BESYLATE-ATORVASTATIN CALCIUM,Generic,Cardiovascular Agents,"Cardiac Drugs, NEC",597.0,32181.0,140621.79,113614.14,27007.65,4.369714738510301,3.530472639134893,0.839242099375408
2018.0,AMLODIPINE BESYLATE-BENAZEPRIL HCL,Generic,Cardiovascular Agents,"Cardiac, Calcium Channel",9461.0,455948.0,204470.03,41305.1,163164.93,0.4484503276689447,0.09059169028047058,0.3578586373884741
2018.0,AMLODIPINE BESYLATE-HCTZ-OLMESARTAN MEDOXOMIL,Generic,Cardiovascular Agents,"Cardiac Drugs, NEC",207.0,9862.0,31028.25,23756.39,7271.86,3.1462431555465424,2.4088815656053537,0.7373615899411884
2018.0,AMLODIPINE BESYLATE-OLMESARTAN MEDOXOMIL,Generic,Cardiovascular Agents,"Cardiac, Calcium Channel",764.0,35557.0,81289.57,56436.26,24853.31,2.2861762803386116,1.5872053322833761,0.6989709480552353
2018.0,AMLODIPINE BESYLATE-VALSARTAN,Generic,Cardiovascular Agents,"Cardiac, Calcium Channel",1104.0,49707.0,40131.9,16807.54,23324.36,0.8073691834148108,0.3381322550143843,0.4692369284004265
2018.0,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE,Generic,Cardiovascular Agents,"Cardiac, Calcium Channel",357.0,18265.0,55408.9,44204.26,11204.64,3.0336107309061044,2.4201620585819876,0.6134486723241172
2018.0,AMMONIUM LACTATE,Generic,Skin & Mucous Membrane,Emoll/Moist/Demul/Protect S/MM,1335.0,38908.0,22374.98,9009.17,13365.81,0.5750740207669374,0.2315505808574072,0.34352343990953016
2018.0,AMNESTEEM,Generic,Vitamins & Comb,"Vitamin A & Derivatives, NEC",845.0,25246.0,221638.98,195866.65,25772.33,8.779172146082548,7.7583240909451,1.0208480551374477
2018.0,AMOXAPINE,Brand,Central Nervous System,"Psychother, Antidepressants",18.0,495.0,382.15,106.66,275.49,0.7720202020202019,0.21547474747474746,0.5565454545454546
2018.0,AMOXICILLIN,Brand,Anti-Infective Agents,"Antibiot, Penicillins",782.0,8484.0,13339.78,2303.23,11036.55,1.5723455917020275,0.27147925506836396,1.3008663366336632
2018.0,AMOXICILLIN,Generic,Anti-Infective Agents,"Antibiot, Penicillins",202914.0,2023876.0,919076.4,44068.18,875008.22,0.45411695182906464,0.02177415019497242,0.43234280163409217
2018.0,AMOXICILLIN/CLAVULANATE POTASSIUM,Brand,Anti-Infective Agents,"Antibiot, Penicillins",74.0,941.0,7512.08,5259.67,2252.41,7.98308182784272,5.589447396386823,2.3936344314558977
2018.0,AMOXICILLIN/CLAVULANATE POTASSIUM,Generic,Anti-Infective Agents,"Antibiot, Penicillins",104846.0,1075025.0,1177068.21,255418.31,921649.9,1.0949217087974699,0.23759290249063975,0.8573288063068301
2018.0,AMPHETAMINE SALT COMBINATION,Generic,Central Nervous System,"Stimulant, Amphetamine Type",25.0,641.0,531.32,209.33,321.99,0.8288923556942278,0.3265678627145086,0.5023244929797192
2018.0,AMPHETAMINE SALT COMBO,Generic,Central Nervous System,"Stimulant, Amphetamine Type",121890.0,3642715.0,4158607.91,1952102.87,2206505.04,1.141623187649871,0.5358922863852923,0.6057309012645787
2018.0,AMPHETAMINE SULFATE,Generic,Central Nervous System,"Stimulant, Amphetamine Type",12.0,360.0,3347.48,3037.48,310.0,9.298555555555556,8.437444444444445,0.8611111111111112
2018.0,AMPICILLIN,Brand,Anti-Infective Agents,"Antibiot, Penicillins",384.0,7038.0,6178.11,1503.01,4675.1,0.8778218243819267,0.21355640807047457,0.6642654163114522
2018.0,AMPICILLIN,Generic,Anti-Infective Agents,"Antibiot, Penicillins",431.0,7845.0,5502.01,1174.6,4327.41,0.7013397068196303,0.1497259400892288,0.5516137667304015
2018.0,AMPYRA,Brand,Central Nervous System,"CNS Agents, Misc.",972.0,29340.0,2414853.04,2320296.99,94556.05,82.30582958418542,79.08306032719837,3.2227692569870485
2018.0,AMRIX,Brand,Autonomic Drugs,"Muscle Relax, Skeletal Central",53.0,1560.0,58431.84,56446.84,1985.0,37.45630769230769,36.18387179487179,1.2724358974358974
2018.0,ANAFRANIL,Generic,Central Nervous System,"Psychother, Antidepressants",11.0,325.0,24545.75,23995.75,550.0,75.52538461538461,73.83307692307692,1.6923076923076923
2018.0,ANAGRELIDE HCL,Generic,Blood Form/Coagul Agents,"Antiplatelet Agents, NEC",108.0,4969.0,30017.97,27075.54,2942.43,6.041048500704368,5.448891124974844,0.592157375729523
2018.0,ANALPRAM HC,Brand,Skin & Mucous Membrane,Antiinflam S/MM Agnts&Comb NEC,18.0,407.0,3551.14,2337.23,1213.91,8.725159705159705,5.742579852579853,2.982579852579853
2018.0,ANASTROZOLE,Generic,Antineoplastic Agents,Hormone-Modifying Therapy,10964.0,496979.0,125187.55,107566.82,17620.73,0.25189706204889944,0.21644137881077471,0.03545568323812475
2018.0,ANDRODERM,Brand,Hormones & Synthetic Subst,"Androgens & Comb, NEC",853.0,25869.0,380108.3,328115.25,51993.05,14.693583053075109,12.683723762031775,2.009859291043334
2018.0,ANDROGEL,Brand,Hormones & Synthetic Subst,"Androgens & Comb, NEC",5784.0,166795.0,4087844.65,3719981.28,367863.37,24.508196588626756,22.30271458976588,2.205481998860877
2018.0,ANDROGEL,Generic,Hormones & Synthetic Subst,"Androgens & Comb, NEC",15.0,450.0,24045.82,23080.82,965.0,53.43515555555555,51.29071111111111,2.1444444444444444
2018.0,ANGELIQ,Brand,Hormones & Synthetic Subst,"Estrogens & Comb, NEC",58.0,2464.0,15080.93,9779.11,5301.82,6.120507305194805,3.968794642857143,2.1517126623376623
2018.0,ANIMAL SHAPES,Generic,Vitamins & Comb,"Multivit Prep, Multivit Plain",11.0,450.0,22.03,0.0,22.03,0.04895555555555556,0.0,0.04895555555555556
2018.0,ANORO ELLIPTA,Brand,Autonomic Drugs,"Sympathomimetic Agents, NEC",2928.0,99223.0,1162539.04,995993.7,166545.34,11.716427038085929,10.037931729538514,1.6784953085474135
2018.0,ANTI-STATIC COMPACT SPACE CHAMBER,Brand,Devices & Non-Drug Items,"Devices & Non-Drug Items, NEC",207.0,1814.0,2357.73,1143.54,1214.19,1.2997409040793826,0.6303969128996693,0.6693439911797133
2018.0,ANUCORT-HC,Generic,Skin & Mucous Membrane,Antiinflam S/MM Agnts&Comb NEC,1121.0,15689.0,189993.76,161512.09,28481.67,12.10999808783224,10.294607049525144,1.8153910383070941
2018.0,ANUSOL-HC,Generic,Skin & Mucous Membrane,Antiinflam S/MM Agnts&Comb NEC,19.0,235.0,5244.44,4743.49,500.95,22.31676595744681,20.185063829787232,2.1317021276595742
2018.0,APEXICON E,Brand,Skin & Mucous Membrane,Antiinflam S/MM Agnts&Comb NEC,13.0,323.0,9811.06,9021.06,790.0,30.374798761609906,27.928978328173372,2.4458204334365323
