Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
"Eye, Ear, Nose Throat",47828,1429368,15703863.56,12447113.03,3256750.5300000003,2018,Brand,328.3403771849126,10.986578375897599,68.09296918123276,260.2474080036798,2.278454904545226,8.708123471352373
Gastrointestinal Drugs,54611,1720284,31604641.25,28624609.970000003,2980031.28,2018,Brand,578.7229907894014,18.371757948106243,54.568333852154325,524.1546569372471,1.7322902962534092,16.639467651852836
Gold Compounds,20,1200,37198.4,35973.4,1225.0,2018,Brand,1859.92,30.99866666666667,61.25,1798.67,1.0208333333333333,29.977833333333333
Heavy Metal Antagonists,303,9202,3867615.85,3847134.08,20481.77,2018,Brand,12764.408745874587,420.30165724842425,67.596600660066,12696.812145214522,2.2257954792436427,418.0758617691806
Hormones & Synthetic Subst,615430,24865144,294008052.93,264590742.34,29417310.59,2018,Brand,477.72785358204834,11.82410417289359,47.79960448791901,429.92824909412934,1.1830742098256097,10.64102996306798
Immunosuppressants,68326,2074517,380940017.15000004,374019376.41,6920640.74,2018,Brand,5575.330286420983,183.62829379079565,101.28853935544302,5474.041747065539,3.3360250795727393,180.2922687112229
Misc Therapeutic Agents,31936,1049588,119409587.72000001,116758782.28999999,2650805.43,2018,Brand,3739.027671593187,113.76805729486237,83.00367704158317,3656.0239945516028,2.5255675846141536,111.24248971024821
Missing,172,7732,4468.929999999999,2630.28,1838.6499999999999,2018,Brand,25.982151162790693,0.5779785307811691,10.689825581395349,15.29232558139535,0.23779746508018623,0.34018106570098294
Oxytocics,94,1217,856179.7500000001,849231.3400000001,6948.41,2018,Brand,9108.29521276596,703.5166392769105,73.91925531914893,9034.37595744681,5.709457682826622,697.8071815940839
Pharmaceutical Aids/Adjuvants,5035,138905,688059.42,433768.39,254291.03,2018,Brand,136.65529692154917,4.953453223426083,50.504673286991064,86.1506236345581,1.830683056765415,3.1227701666606675
Respiratory Tract Agents,5377,134735,26337091.87,26082130.35,254961.52000000002,2018,Brand,4898.101519434629,195.47327620885443,47.417057838943656,4850.684461595685,1.8923184027906632,193.58095780606376
"Serums, Toxoids, Vaccines",197968,708337,14322544.100000001,13864594.63,457949.47,2018,Brand,72.34777388264772,20.219957590807766,2.3132499696920714,70.03452391295563,0.6465135521651417,19.573444038642624
Skin & Mucous Membrane,28160,969156,11009088.43,8992634.28,2016454.15,2018,Brand,390.94774254261364,11.359459601962945,71.60703657670454,319.3407059659091,2.0806290731316732,9.278830528831271
Smooth Muscle Relaxants,6741,279418,2771160.1100000003,2354609.52,416550.58999999997,2018,Brand,411.09035899718145,9.917614863752515,61.793589971814264,349.29676902536715,1.4907793699761647,8.42683549377635
Unknown,4428,185928,791519.75,663238.1499999999,128281.59999999998,2018,Brand,178.7533310749774,4.257130448345596,28.970551038843716,149.7827800361337,0.6899531001247794,3.5671773482208162
Vitamins & Comb,17667,665549,1358346.66,1220213.83,138132.83,2018,Brand,76.88609611139412,2.0409416286404154,7.818691911473367,69.06740419992076,0.20754719787724119,1.8333944307631747
"Anesthetics, Local",54,1424,499.76000000000005,186.16,313.6,2019,Generic,9.254814814814816,0.3509550561797753,5.807407407407408,3.4474074074074075,0.22022471910112362,0.13073033707865167
Anti-Infective Agents,1258142,16964244,26958735.41,15612152.18,11346583.23,2019,Generic,21.427418693597385,1.589150416016181,9.018523529140591,12.408895164456794,0.6688528666529437,0.9202975493632372
Antihistamines & Comb.,40249,1260241,660633.25,371567.50999999995,289065.74,2019,Generic,16.413656239906583,0.5242118372596988,7.1819359487192225,9.231720291187358,0.2293733817579336,0.2948384555017651
Antineoplastic Agents,75301,3023412,14761852.14,14375224.02,386628.12,2019,Generic,196.03792964236862,4.882514238879782,5.1344353992642855,190.90349424310435,0.12787807946783303,4.754636159411949
Autonomic Drugs,440469,9878996,18114028.04,12724475.11,5389552.93,2019,Generic,41.12441066227135,1.8335899761473735,12.235941530504984,28.888469131766367,0.5455567478719497,1.2880332282754239
Blood Form/Coagul Agents,75338,3302155,4262349.67,3415950.4199999995,846399.25,2019,Generic,56.57635814595556,1.2907781948454873,11.234692319944783,45.34166582601077,0.2563172382883299,1.0344609565571572
Cardiovascular Agents,2655144,130831228,39550418.6,19802545.23,19747873.37,2019,Generic,14.895771604101322,0.30230105766491777,7.437590341616124,7.458181262485199,0.1509415884256624,0.15135946923925533
Central Nervous System,4097340,136739658,102234037.36,60689448.660000004,41544588.7,2019,Generic,24.95131899232185,0.7476546223334857,10.13940476016147,14.811914232160378,0.30382252894036055,0.44383209339312524
Dental Agents,29212,1363986,170880.81,107369.92,63510.89,2019,Generic,5.849678556757497,0.1252804720869569,2.1741369984937697,3.675541558263727,0.04656271398680045,0.07871775810015645
"Electrolytic, Caloric, Water",436313,20827153,6018324.93,2697302.9,3321022.03,2019,Generic,13.793595263033648,0.2889653199359509,7.611558743379179,6.182036519654468,0.15945636112626627,0.12950895880968463
"Eye, Ear, Nose Throat",283062,7900180,8642291.33,4791155.21,3851136.12,2019,Generic,30.531443040747256,1.0939360027239886,13.605274180214936,16.92616886053232,0.48747447779670844,0.6064615249272801
Gastrointestinal Drugs,430447,16281817,18522293.69,14528003.76,3994289.93,2019,Generic,43.030370033941466,1.1376060601835778,9.279400088744957,33.7509699451965,0.24532212406023235,0.8922839361233454
Heavy Metal Antagonists,40,1200,575108.64,572749.11,2359.5299999999997,2019,Generic,14377.716,479.2572,58.988249999999994,14318.72775,1.9662749999999998,477.290925
Hormones & Synthetic Subst,1743981,80164317,50018589.89,36635760.01,13382829.88,2019,Generic,28.680696572955785,0.6239508020756916,7.673724587595852,21.006971985359932,0.16694247990661482,0.4570083221690768
Immunosuppressants,25911,1087938,4401819.56,3709949.92,691869.64,2019,Generic,169.88227239396394,4.046020600438627,26.70177299216549,143.18049940179847,0.6359458351486942,3.410074765289934
Misc Therapeutic Agents,199602,9215172,12239267.020000001,10099932.930000002,2139334.09,2019,Generic,61.31835863368103,1.3281647938855619,10.717999268544403,50.60035936513663,0.23215346278940857,1.0960113310961532
Missing,82,4332,7412.62,6986.06,426.56,2019,Generic,90.39780487804877,1.7111311172668513,5.201951219512195,85.19585365853659,0.09846722068328717,1.6126638965835642
Oxytocics,168,548,72020.58000000002,67020.34,5000.24,2019,Generic,428.69392857142867,131.4244160583942,29.763333333333332,398.93059523809524,9.124525547445256,122.2998905109489
Pharmaceutical Aids/Adjuvants,25921,258189,360935.8599999999,284035.74,76900.12000000001,2019,Generic,13.924457389761194,1.3979521203459477,2.9667111608348447,10.957746228926354,0.29784429235947313,1.1001078279864749
Respiratory Tract Agents,180623,5103265,2422260.04,1163722.06,1258537.98,2019,Generic,13.410584698515693,0.47464908053961535,6.967761470023198,6.442823228492496,0.24661427145170786,0.22803480908790746
Skin & Mucous Membrane,577353,12877873,31995186.68,21734456.0,10260730.68,2019,Generic,55.41702681028764,2.4845086358593536,17.772022800608987,37.64500400967865,0.7967721595018059,1.6877364763575475
Smooth Muscle Relaxants,28088,1217154,1791289.84,1173516.61,617773.23,2019,Generic,63.774203930504136,1.4717035313526474,21.994204998575903,41.779998931928226,0.5075555188579259,0.9641480124947214
Unknown,17657,539893,299798.03,232364.27000000002,67433.76,2019,Generic,16.978990202186104,0.5552915670327269,3.819094976496573,13.15989522568953,0.12490208244967058,0.4303894845830563
Vitamins & Comb,165222,6988699,5123309.82,4040591.9,1082717.92,2019,Generic,31.008641827359554,0.7330849160909635,6.55310987640871,24.455531950950842,0.1549241024688572,0.5781608136221061
